Регион;2016;2017;2018;2019;2020;2021;2022
Нижегородская область;1 282 751,70;1 387 920,90;1 502 156,20;1 617 171,70;1 600 333,40;1 931 254,10;2 287 862,30
Оренбургская область;814 765,40;872 857,10;1 058 504,80;1 106 329,30;1 046 728,30;1 409 921,00;1 571 366,40
Пензенская область;358 258,20;376 076,20;411 028,70;448 521,10;484 785,40;540 115,80;592 885,50
Самарская область;1 364 822,20;1 449 005,70;1 625 558,70;1 689 575,40;1 625 461,80;2 157 662,00;2 378 451,00
Саратовская область;700 848,60;728 946,40;773 838,60;809 822,60;856 515,70;1 009 797,70;1 193 979,30
Ульяновская область;366 954,70;374 827,90;386 675,40;424 995,60;438 968,90;508 499,10;588 824,10
Уральский федеральный округ;9 770 442,70;10 983 195,00;13 035 608,40;13 272 019,30;11 636 178,10;16 913 972,20;20 073 356,50
Курганская область;202 100,40;209 985,50;215 589,90;236 825,80;240 188,20;272 175,20;339 533,90
Свердловская область;2 109 619,10;2 259 526,00;2 423 689,40;2 535 215,00;2 512 654,90;3 083 947,10;3 469 555,30
Ханты-Мансийский автономный округ-Югра;3 130 196,40;3 557 367,10;4 506 739,70;4 558 879,80;3 341 832,00;5 700 228,30;6 894 316,50
Ямало-Ненецкий автономный округ;2 028 234,60;2 456 293,70;3 051 613,10;3 158 827,60;2 767 734,50;4 219 244,60;5 350 247,90
Тюменская область;967 530,80;1 083 409,40;1 316 650,90;1 234 753,10;1 171 029,20;1 573 449,40;1 719 984,40
Челябинская область;1 332 761,40;1 416 613,30;1 521 325,40;1 547 518,00;1 602 739,40;2 064 927,60;2 299 718,50
Сибирский федеральный округ;6 975 354,30;7 653 768,90;8 701 658,80;9 090 340,50;9 021 766,50;11 417 377,70;13 054 068,20
Республика Алтай;47 434,90;48 415,20;54 069,40;57 064,00;62 850,80;74 513,40;91 614,70
Республика Тыва;58 001,10;65 038,90;73 681,60;79 321,30;82 230,80;91 529,30;107 783,50
Республика Хакасия;207 742,60;218 148,40;242 341,10;256 322,30;266 213,20;315 304,40;349 156,30
Алтайский край;532 401,50;545 303,00;579 740,50;628 146,10;664 129,20;869 672,10;944 894,10
Красноярский край;1 821 899,90;1 977 016,10;2 374 749,90;2 696 158,90;2 725 096,70;3 122 115,30;3 319 026,20
Иркутская область;1 139 206,80;1 268 311,70;1 460 512,20;1 540 237,80;1 494 326,60;1 972 480,50;2 356 810,10
Кемеровская область-Кузбасс;903 348,90;1 097 861,00;1 266 424,50;1 110 194,80;1 045 077,10;1 823 647,70;2 188 751,40
Новосибирская область;1 074 794,70;1 179 564,20;1 301 631,10;1 332 895,80;1 358 350,10;1 628 844,40;1 939 378,10
Омская область;669 480,40;699 716,50;736 076,80;772 095,90;770 280,40;796 044,10;947 059,40
Томская область;521 043,50;554 393,90;612 431,70;617 903,60;553 211,60;723 226,50;809 594,40
Дальневосточный федеральный округ;4 481 568,00;4 679 280,80;5 597 118,00;5 970 632,30;6 037 509,30;7 593 744,80;8 655 564,10
Республика Бурятия;220 764,60;224 594,10;258 578,60;285 490,60;302 800,40;356 150,20;447 008,50
Республика Саха (Якутия);889 449,30;942 029,60;1 126 774,70;1 227 680,30;1 133 688,20;1 672 273,80;2 025 049,40
Забайкальский край;279 140,70;306 596,50;339 838,90;369 476,50;422 734,50;516 630,10;547 235,60
Камчатский край;224 091,00;228 167,20;263 151,30;279 337,80;296 429,40;351 233,70;357 183,50
Приморский край;860 803,60;906 265,00;965 485,20;1 069 330,70;1 105 672,60;1 354 099,50;1 539 350,30
Хабаровский край;672 660,40;697 951,00;761 589,20;805 215,60;856 904,80;1 017 795,10;1 067 881,50
Амурская область;297 531,00;299 181,00;334 164,40;395 617,20;449 317,50;548 269,80;603 837,30
Магаданская область;153 879,80;161 851,20;176 370,60;214 414,90;285 146,00;320 159,60;315 919,10
Сахалинская область;762 510,30;784 503,40;1 233 164,70;1 172 226,10;1 001 689,40;1 237 949,80;1 530 380,60
Еврейская автономная область;48 563,20;55 268,00;54 577,80;56 847,60;63 177,10;79 156,90;80 676,20
Чукотский автономный округ;72 174,10;72 873,80;83 422,60;94 995,00;119 949,40;140 026,30;141 042,10
;;;;;;;
;;;;;;;
